data_id,split_id,seed,mae,rmse,r2,spearman
3,1,27407,6.503635848928281,11.129568416596067,0.8333486974683626,0.5190343721255908
3,1,27407,6.90477506056413,11.702372084178858,0.8157532352708092,0.5534683265451116
3,1,27407,8.191526113719025,12.711774210683515,0.7825975641378249,0.4909462728897932
3,1,27407,6.11402105135554,10.304996269750951,0.8571277964083338,0.4904486162520184
3,1,27407,6.626141143501852,10.253284944258958,0.8585580878425093,0.5450314876383866
3,1,27407,5.548308108989312,9.476121889688326,0.8791870908999445,0.5005694988083621
3,1,27407,7.138617633431972,12.101564982135596,0.8029687377036265,0.5280571069171487
3,1,27407,11.162695763139613,16.49512616671426,0.6339306663477337,0.5640164465728692
3,1,27407,6.575696818705747,10.730969244068394,0.8450719817737683,0.48776275316281403
3,1,27407,5.289997074721847,9.26074433819704,0.8846164611244092,0.48981129589173145
3,1,27407,5.743781107494167,9.344675021654776,0.882515527710528,0.46584145188040305
3,1,27407,6.249818877263568,10.270154998576917,0.8580922672311082,0.49985278600344574
3,1,27407,5.788271941821981,9.138812754227033,0.8876348531851498,0.48793619495473456
3,1,27407,6.325483619730545,9.791079212769686,0.8710227260121048,0.497681567015461
3,1,27407,6.070160859253129,9.840504990310436,0.8697172739680956,0.554241271490126
3,1,27407,6.075228446759277,9.892847426552954,0.8683276193659495,0.5345492710933131
3,1,27407,11.729223203580553,17.264685768341455,0.5989768705196349,0.5657598797809071
3,1,27407,7.107200907462831,10.911931425320883,0.8398026523051056,0.49791976079471745
3,1,27407,6.109013634241391,10.129293644534744,0.8619582717163103,0.4827185784938549
